Room Number,Description,Classroom Setup,Capacity
027-124,"Eastburn Education Building, Room 124",Traditional Classroom,40
027-150,"Eastburn Education Building, Room 150",Seminar Seating,20
027-151,"Eastburn Education Building, Room 151",Seminar Seating,20
027-155,"Eastburn Education Building, Room 155",Seminar Seating,20
027-156,"Eastburn Education Building, Room 156",Seminar Seating,20
027-169,"Eastburn Education Building, Room 169",Psychology Clinic/Observation,14
027-174,"Eastburn Education Building, Room 174",Traditional Classroom,38
027-185,"Eastburn Education Building, Room 185",Computer Stations,30
027-189,"Eastburn Education Building, Room 189",Computer Stations,24
027-200,"Eastburn Education Building, Room 200",Traditional Classroom,38
027-201,"Eastburn Education Building, Room 201",Traditional Classroom,38
027-203,"Eastburn Education Building, Room 203",Traditional Classroom,38
027-204,"Eastburn Education Building, Room 204",Traditional Classroom,40
027-205,"Eastburn Education Building, Room 205",Traditional Classroom,38
027-208,"Eastburn Education Building, Room 208",Traditional Classroom,28
027-211,"Eastburn Education Building, Room 211",Traditional Classroom,38
027-212,"Eastburn Education Building, Room 212",Traditional Classroom,30
027-216,"Eastburn Education Building, Room 216",Traditional Classroom,35
028-102,"Cline Library, Room 102",Auditorium,407
028-249,"Cline Library, Room 249",Computer Stations,70
029-110,"Ernest Calderon Learning Community Building, Room 110",Traditional Classroom,46
029-111,"Ernest Calderon Learning Community Building, Room 111",Traditional Classroom,46
033-108,"HRM - Eugene M. Hughes Building, Room 108",Computer Stations,32
033-109,"HRM - Eugene M. Hughes Building, Room 109",Traditional Classroom,30
033-111,"HRM - Eugene M. Hughes Building, Room 111",Traditional Classroom,54
033-112,"HRM - Eugene M. Hughes Building, Room 112",Traditional Classroom,60
033-113,"HRM - Eugene M. Hughes Building, Room 113",Traditional Classroom,30
033-115,"HRM - Eugene M. Hughes Building, Room 115",Dining,40
033-117,"HRM - Eugene M. Hughes Building, Room 117",Traditional Classroom,22
033-136,"HRM - Eugene M. Hughes Building, Room 136",Tiered Seating,36
033-138,"HRM - Eugene M. Hughes Building, Room 138",Tiered Seating,34
033-139,"HRM - Eugene M. Hughes Building, Room 139",Tiered Seating,40
033-141,"HRM - Eugene M. Hughes Building, Room 141",Cooking/Kitchen Workstations,32
036-105,"Science and Health, Room 105",Large Lecture Hall,120
036-106,"Science and Health, Room 106",Large Lecture Hall,120
036-211,"Science and Health, Room 211",Large Lecture Hall,180
036-212,"Science and Health, Room 212",Large Lecture Hall,65
036-314,"Science and Health, Room 314",Science Lab Workstations,24
036-315,"Science and Health, Room 315",Science Lab Workstations,24
036-316,"Science and Health, Room 316",Science Lab Workstations,24
036-414,"Science and Health, Room 414",Science Lab Workstations,24
036-415,"Science and Health, Room 415",Science Lab Workstations,24
036-416,"Science and Health, Room 416",Science Lab Workstations,24
036-433,"Science and Health, Room 433",Science Lab Workstations,25
036-501,"Science and Health, Room 501",Science Lab Workstations,24
036-502,"Science and Health, Room 502",Science Lab Workstations,48
036-512,"Science and Health, Room 512",Classroom Rows,30
036-513,"Science and Health, Room 513",Classroom Rows,25
036-514,"Science and Health, Room 514",Instructional Lab - Dry,25
037-104,"Performing and Fine Arts Building, Room 104",Art Area - Workstations,18
037-113,"Performing and Fine Arts Building, Room 113",Theater - Blackbox,10
037-115,"Performing and Fine Arts Building, Room 115",Art Area - Workstations,16
037-125,"Performing and Fine Arts Building, Room 125",Traditional Classroom,44
037-131,"Performing and Fine Arts Building, Room 131",Traditional Classroom,25
037-135,"Performing and Fine Arts Building, Room 135",Traditional Classroom,18
037-137,"Performing and Fine Arts Building, Room 137",Traditional Classroom,25
037-143,"Performing and Fine Arts Building, Room 143",Conference Style - Square,24
037-144,"Performing and Fine Arts Building, Room 144",Traditional Classroom,20
037-146,"Performing and Fine Arts Building, Room 146",Band Room,70
037-147,"Performing and Fine Arts Building, Room 147",Choir Room,100
037-151,"Performing and Fine Arts Building, Room 151",Theater - Blackbox,20
037-154,"Performing and Fine Arts Building, Room 154",Piano Stations,30
037-156,"Performing and Fine Arts Building, Room 156",Dressing Room,12
037-158,"Performing and Fine Arts Building, Room 158",Costume Shop Workstations,12
037-203,"Performing and Fine Arts Building, Room 203",Drafting Tables,18
037-205,"Performing and Fine Arts Building, Room 205",Drafting Tables,18
037-207,"Performing and Fine Arts Building, Room 207",Traditional Classroom,28
037-209,"Performing and Fine Arts Building, Room 209",Music - Keyboards,17
037-215,"Performing and Fine Arts Building, Room 215","Tiered Seating, Fixed",45
037-217,"Performing and Fine Arts Building, Room 217",Traditional Classroom,40
037-219,"Performing and Fine Arts Building, Room 219",Traditional Classroom,30
037-250,"Performing and Fine Arts Building, Room 250",Music Practice Room,5
037-301,"Performing and Fine Arts Building, Room 301",Art Area - Workstations,18
037-303,"Performing and Fine Arts Building, Room 303",Art Area - Workstations,18
037-309,"Performing and Fine Arts Building, Room 309",Art Area - Workstations,18
